Deneme No,Irk,Ahir Tipi,Bakici Sayisi,Havalandirma (%),Kolostrum,Son Saat,Final Bagisiklik,Final Saglik,Ilk Bilanco (TL),Final Bilanco (TL),Sonuc
1,simental,climate,2,59,3. Saat,72,97.0,100.0,23279,28989.00,SUCCESS
2,holstein,open,6,56,Verilmedi,50,0.0,0.0,10652,5552.00,DEATH
3,angus,climate,5,54,10. Saat,72,58.0,93.0,12646,16096.00,SUCCESS
4,angus,open,3,53,10. Saat,72,50.0,92.0,15527,23657.00,SUCCESS
5,simental,climate,2,87,Verilmedi,72,0.0,33.0,15894,10754.00,SUCCESS
6,angus,open,3,47,2. Saat,72,62.0,95.0,13397,21377.00,SUCCESS
7,simental,open,7,9,7. Saat,72,96.0,91.0,24197,28697.00,SUCCESS
8,holstein,climate,7,59,1. Saat,72,89.0,100.0,22561,24671.00,SUCCESS
9,simental,semi,8,87,3. Saat,72,60.0,94.0,16533,20133.00,SUCCESS
10,angus,climate,6,85,2. Saat,72,100.0,100.0,11901,14781.00,SUCCESS
11,holstein,semi,2,99,5. Saat,72,80.0,89.0,6255,14175.00,SUCCESS
12,angus,open,4,55,10. Saat,72,77.0,100.0,22306,29716.00,SUCCESS
13,holstein,open,4,48,11. Saat,51,30.0,0.0,18041,13996.00,DEATH
14,simental,open,4,13,9. Saat,72,71.0,74.5,17563,24223.00,SUCCESS
15,holstein,open,3,46,10. Saat,49,32.0,0.0,7058,3293.00,DEATH
16,angus,open,2,99,7. Saat,72,42.0,24.0,14405,11255.00,SUCCESS
17,holstein,open,5,64,7. Saat,72,97.0,68.5,24069,25959.00,SUCCESS
18,holstein,semi,8,47,3. Saat,72,63.0,29.5,14188,6988.00,SUCCESS
19,simental,climate,1,39,3. Saat,31,65.0,3.2,7158,7098.00,DEATH
20,holstein,open,6,39,Verilmedi,52,0.0,0.0,6423,2593.00,DEATH
21,simental,open,4,68,4. Saat,72,100.0,95.0,14760,22320.00,SUCCESS
22,angus,semi,7,64,4. Saat,72,76.0,92.0,15023,19343.00,SUCCESS
23,simental,open,1,88,1. Saat,71,64.0,4.0,19836,17471.00,DEATH
